"Статус","Количество"
"Total","331"
"Active","34"
"Accepted","22"
"Final","229"
"Provisional","1"
"Draft","46"
"Total","332"
"Active","34"
"Accepted","22"
"Final","230"
"Provisional","1"
"Draft","46"
"Total","333"
"Active","34"
"Accepted","22"
"Final","231"
"Provisional","1"
"Draft","46"
"Total","334"
"Active","34"
"Accepted","22"
"Final","232"
"Provisional","1"
"Draft","46"
"Total","335"
"Active","34"
"Accepted","22"
"Final","233"
"Provisional","1"
"Draft","46"
"Total","336"
"Active","34"
"Accepted","22"
"Final","234"
"Provisional","1"
"Draft","46"
"Total","337"
"Active","34"
"Accepted","22"
"Final","235"
"Provisional","1"
"Draft","46"
"Total","338"
"Active","34"
"Accepted","22"
"Final","236"
"Provisional","1"
"Draft","46"
"Total","339"
"Active","34"
"Accepted","22"
"Final","237"
"Provisional","1"
"Draft","46"
"Total","340"
"Active","34"
"Accepted","22"
"Final","238"
"Provisional","1"
"Draft","46"
"Total","341"
"Active","34"
"Accepted","22"
"Final","239"
"Provisional","1"
"Draft","46"
"Total","342"
"Active","34"
"Accepted","22"
"Final","240"
"Provisional","1"
"Draft","46"
"Total","343"
"Active","34"
"Accepted","22"
"Final","241"
"Provisional","1"
"Draft","46"
"Total","344"
"Active","34"
"Accepted","22"
"Final","242"
"Provisional","1"
"Draft","46"
"Total","345"
"Active","34"
"Accepted","22"
"Final","243"
"Provisional","1"
"Draft","46"
"Total","346"
"Active","34"
"Accepted","22"
"Final","244"
"Provisional","1"
"Draft","46"
"Total","347"
"Active","34"
"Accepted","22"
"Final","245"
"Provisional","1"
"Draft","46"
"Total","348"
"Active","34"
"Accepted","22"
"Final","246"
"Provisional","1"
"Draft","46"
"Total","349"
"Active","34"
"Accepted","22"
"Final","247"
"Provisional","1"
"Draft","46"
"Total","350"
"Active","34"
"Accepted","22"
"Final","248"
"Provisional","1"
"Draft","46"
"Total","351"
"Active","34"
"Accepted","22"
"Final","249"
"Provisional","1"
"Draft","46"
"Total","352"
"Active","34"
"Accepted","22"
"Final","250"
"Provisional","1"
"Draft","46"
"Total","353"
"Active","34"
"Accepted","22"
"Final","251"
"Provisional","1"
"Draft","46"
"Total","354"
"Active","34"
"Accepted","22"
"Final","252"
"Provisional","1"
"Draft","46"
"Total","355"
"Active","34"
"Accepted","22"
"Final","253"
"Provisional","1"
"Draft","46"
"Total","356"
"Active","34"
"Accepted","22"
"Final","254"
"Provisional","1"
"Draft","46"
"Total","357"
"Active","34"
"Accepted","22"
"Final","255"
"Provisional","1"
"Draft","46"
"Total","358"
"Active","34"
"Accepted","22"
"Final","256"
"Provisional","1"
"Draft","46"
"Total","359"
"Active","34"
"Accepted","22"
"Final","257"
"Provisional","1"
"Draft","46"
"Total","360"
"Active","34"
"Accepted","22"
"Final","258"
"Provisional","1"
"Draft","46"
"Total","361"
"Active","34"
"Accepted","22"
"Final","259"
"Provisional","1"
"Draft","46"
"Total","362"
"Active","34"
"Accepted","22"
"Final","260"
"Provisional","1"
"Draft","46"
"Total","363"
"Active","34"
"Accepted","22"
"Final","261"
"Provisional","1"
"Draft","46"
"Total","364"
"Active","34"
"Accepted","22"
"Final","262"
"Provisional","1"
"Draft","46"
"Total","365"
"Active","34"
"Accepted","22"
"Final","263"
"Provisional","1"
"Draft","46"
"Total","366"
"Active","34"
"Accepted","22"
"Final","264"
"Provisional","1"
"Draft","46"
"Total","367"
"Active","34"
"Accepted","22"
"Final","265"
"Provisional","1"
"Draft","46"
"Total","368"
"Active","34"
"Accepted","22"
"Final","266"
"Provisional","1"
"Draft","46"
"Total","369"
"Active","34"
"Accepted","22"
"Final","267"
"Provisional","1"
"Draft","46"
"Total","370"
"Active","34"
"Accepted","22"
"Final","268"
"Provisional","1"
"Draft","46"
"Total","371"
"Active","34"
"Accepted","22"
"Final","269"
"Provisional","1"
"Draft","46"
"Total","372"
"Active","34"
"Accepted","22"
"Final","270"
"Provisional","1"
"Draft","46"
"Total","373"
"Active","34"
"Accepted","22"
"Final","271"
"Provisional","1"
"Draft","46"
"Total","374"
"Active","34"
"Accepted","22"
"Final","272"
"Provisional","1"
"Draft","46"
"Total","375"
"Active","34"
"Accepted","22"
"Final","273"
"Provisional","1"
"Draft","46"
"Total","376"
"Active","34"
"Accepted","22"
"Final","274"
"Provisional","1"
"Draft","46"
"Total","377"
"Active","34"
"Accepted","22"
"Final","275"
"Provisional","1"
"Draft","46"
"Total","378"
"Active","34"
"Accepted","22"
"Final","276"
"Provisional","1"
"Draft","46"
"Total","379"
"Active","34"
"Accepted","22"
"Final","277"
"Provisional","1"
"Draft","46"
"Total","380"
"Active","34"
"Accepted","22"
"Final","278"
"Provisional","1"
"Draft","46"
"Total","381"
"Active","34"
"Accepted","22"
"Final","279"
"Provisional","1"
"Draft","46"
"Total","382"
"Active","34"
"Accepted","22"
"Final","280"
"Provisional","1"
"Draft","46"
"Total","383"
"Active","34"
"Accepted","22"
"Final","281"
"Provisional","1"
"Draft","46"
"Total","384"
"Active","34"
"Accepted","22"
"Final","282"
"Provisional","1"
"Draft","46"
"Total","385"
"Active","34"
"Accepted","22"
"Final","283"
"Provisional","1"
"Draft","46"
"Total","386"
"Active","34"
"Accepted","22"
"Final","284"
"Provisional","1"
"Draft","46"
"Total","387"
"Active","34"
"Accepted","22"
"Final","285"
"Provisional","1"
"Draft","46"
"Total","388"
"Active","34"
"Accepted","22"
"Final","286"
"Provisional","1"
"Draft","46"
"Total","389"
"Active","34"
"Accepted","22"
"Final","287"
"Provisional","1"
"Draft","46"
"Total","390"
"Active","34"
"Accepted","22"
"Final","288"
"Provisional","1"
"Draft","46"
"Total","391"
"Active","34"
"Accepted","22"
"Final","289"
"Provisional","1"
"Draft","46"
"Total","392"
"Active","34"
"Accepted","22"
"Final","290"
"Provisional","1"
"Draft","46"
"Total","393"
"Active","34"
"Accepted","22"
"Final","291"
"Provisional","1"
"Draft","46"
"Total","394"
"Active","34"
"Accepted","22"
"Final","292"
"Provisional","1"
"Draft","46"
"Total","395"
"Active","34"
"Accepted","22"
"Final","293"
"Provisional","1"
"Draft","46"
"Total","396"
"Active","34"
"Accepted","22"
"Final","294"
"Provisional","1"
"Draft","46"
"Total","397"
"Active","34"
"Accepted","22"
"Final","295"
"Provisional","1"
"Draft","46"
"Total","398"
"Active","34"
"Accepted","22"
"Final","296"
"Provisional","1"
"Draft","46"
"Total","399"
"Active","34"
"Accepted","22"
"Final","297"
"Provisional","1"
"Draft","46"
"Total","400"
"Active","34"
"Accepted","22"
"Final","298"
"Provisional","1"
"Draft","46"
"Total","401"
"Active","34"
"Accepted","22"
"Final","299"
"Provisional","1"
"Draft","46"
"Total","402"
"Active","34"
"Accepted","22"
"Final","300"
"Provisional","1"
"Draft","46"
"Total","403"
"Active","34"
"Accepted","22"
"Final","301"
"Provisional","1"
"Draft","46"
"Total","404"
"Active","34"
"Accepted","22"
"Final","302"
"Provisional","1"
"Draft","46"
"Total","405"
"Active","34"
"Accepted","22"
"Final","303"
"Provisional","1"
"Draft","46"
"Total","406"
"Active","34"
"Accepted","22"
"Final","304"
"Provisional","1"
"Draft","46"
"Total","407"
"Active","34"
"Accepted","22"
"Final","305"
"Provisional","1"
"Draft","46"
"Total","408"
"Active","34"
"Accepted","22"
"Final","306"
"Provisional","1"
"Draft","46"
"Total","409"
"Active","34"
"Accepted","22"
"Final","307"
"Provisional","1"
"Draft","46"
"Total","410"
"Active","34"
"Accepted","22"
"Final","308"
"Provisional","1"
"Draft","46"
"Total","411"
"Active","34"
"Accepted","22"
"Final","309"
"Provisional","1"
"Draft","46"
"Total","412"
"Active","34"
"Accepted","22"
"Final","310"
"Provisional","1"
"Draft","46"
"Total","413"
"Active","34"
"Accepted","22"
"Final","311"
"Provisional","1"
"Draft","46"
"Total","414"
"Active","34"
"Accepted","22"
"Final","312"
"Provisional","1"
"Draft","46"
"Total","415"
"Active","34"
"Accepted","22"
"Final","313"
"Provisional","1"
"Draft","46"
"Total","416"
"Active","34"
"Accepted","22"
"Final","313"
"Provisional","1"
"Draft","46"
"Superseded","1"
"Total","417"
"Active","34"
"Accepted","22"
"Final","313"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","418"
"Active","34"
"Accepted","22"
"Final","314"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","419"
"Active","34"
"Accepted","22"
"Final","315"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","420"
"Active","34"
"Accepted","22"
"Final","316"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","421"
"Active","34"
"Accepted","22"
"Final","317"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","422"
"Active","34"
"Accepted","22"
"Final","318"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","423"
"Active","34"
"Accepted","22"
"Final","319"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","424"
"Active","34"
"Accepted","22"
"Final","320"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","425"
"Active","34"
"Accepted","22"
"Final","321"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","426"
"Active","34"
"Accepted","22"
"Final","322"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","427"
"Active","34"
"Accepted","22"
"Final","323"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","428"
"Active","34"
"Accepted","22"
"Final","324"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","429"
"Active","34"
"Accepted","22"
"Final","325"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","430"
"Active","34"
"Accepted","22"
"Final","326"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","431"
"Active","34"
"Accepted","22"
"Final","327"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","432"
"Active","34"
"Accepted","22"
"Final","328"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","433"
"Active","34"
"Accepted","22"
"Final","329"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","434"
"Active","34"
"Accepted","22"
"Final","330"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","435"
"Active","34"
"Accepted","22"
"Final","331"
"Provisional","1"
"Draft","46"
"Superseded","2"
"Total","436"
"Active","34"
"Accepted","22"
"Final","331"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","437"
"Active","34"
"Accepted","22"
"Final","332"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","438"
"Active","34"
"Accepted","22"
"Final","333"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","439"
"Active","34"
"Accepted","22"
"Final","334"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","440"
"Active","34"
"Accepted","22"
"Final","335"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","441"
"Active","34"
"Accepted","22"
"Final","336"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","442"
"Active","34"
"Accepted","22"
"Final","337"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","443"
"Active","34"
"Accepted","22"
"Final","338"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","444"
"Active","34"
"Accepted","22"
"Final","339"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","445"
"Active","34"
"Accepted","22"
"Final","340"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","446"
"Active","34"
"Accepted","22"
"Final","341"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","447"
"Active","34"
"Accepted","22"
"Final","342"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","448"
"Active","34"
"Accepted","22"
"Final","343"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","449"
"Active","34"
"Accepted","22"
"Final","344"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","450"
"Active","34"
"Accepted","22"
"Final","345"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","451"
"Active","34"
"Accepted","22"
"Final","346"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","452"
"Active","34"
"Accepted","22"
"Final","347"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","453"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Total","454"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","1"
"Total","455"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","2"
"Total","456"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","3"
"Total","457"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","4"
"Total","458"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","5"
"Total","459"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","6"
"Total","460"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","7"
"Total","461"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","8"
"Total","462"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","9"
"Total","463"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","10"
"Total","464"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","11"
"Total","465"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","12"
"Total","466"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","13"
"Total","467"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","14"
"Total","468"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","15"
"Total","469"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","16"
"Total","470"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","17"
"Total","471"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","18"
"Total","472"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","19"
"Total","473"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","20"
"Total","474"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","21"
"Total","475"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","22"
"Total","476"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","23"
"Total","477"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","24"
"Total","478"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","25"
"Total","479"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","26"
"Total","480"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","27"
"Total","481"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","28"
"Total","482"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","29"
"Total","483"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","30"
"Total","484"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","31"
"Total","485"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","32"
"Total","486"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","33"
"Total","487"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","34"
"Total","488"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","35"
"Total","489"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","36"
"Total","490"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","37"
"Total","491"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","38"
"Total","492"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","38"
"Withdrawn","1"
"Total","493"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","38"
"Withdrawn","2"
"Total","494"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","3"
"Deferred","38"
"Withdrawn","3"
"Total","495"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","4"
"Deferred","38"
"Withdrawn","3"
"Total","496"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","4"
"Deferred","38"
"Withdrawn","4"
"Total","497"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","4"
"Deferred","38"
"Withdrawn","4"
"Rejected","1"
"Total","498"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","4"
"Deferred","38"
"Withdrawn","5"
"Rejected","1"
"Total","499"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","4"
"Deferred","38"
"Withdrawn","6"
"Rejected","1"
"Total","500"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","4"
"Deferred","38"
"Withdrawn","6"
"Rejected","2"
"Total","501"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","4"
"Deferred","38"
"Withdrawn","6"
"Rejected","3"
"Total","502"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","4"
"Deferred","38"
"Withdrawn","6"
"Rejected","4"
"Total","503"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","6"
"Rejected","4"
"Total","504"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","7"
"Rejected","4"
"Total","505"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","7"
"Rejected","5"
"Total","506"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","7"
"Rejected","6"
"Total","507"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","7"
"Rejected","7"
"Total","508"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","8"
"Rejected","7"
"Total","509"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","8"
"Rejected","8"
"Total","510"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","8"
"Rejected","9"
"Total","511"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","5"
"Deferred","38"
"Withdrawn","8"
"Rejected","10"
"Total","512"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","8"
"Rejected","10"
"Total","513"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","9"
"Rejected","10"
"Total","514"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","10"
"Total","515"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","11"
"Total","516"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","12"
"Total","517"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","13"
"Total","518"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","14"
"Total","519"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","15"
"Total","520"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","16"
"Total","521"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","17"
"Total","522"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","18"
"Total","523"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","10"
"Rejected","19"
"Total","524"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","11"
"Rejected","19"
"Total","525"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","11"
"Rejected","20"
"Total","526"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","11"
"Rejected","21"
"Total","527"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","11"
"Rejected","22"
"Total","528"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","11"
"Rejected","23"
"Total","529"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","11"
"Rejected","24"
"Total","530"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","11"
"Rejected","25"
"Total","531"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","11"
"Rejected","26"
"Total","532"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","6"
"Deferred","38"
"Withdrawn","12"
"Rejected","26"
"Total","533"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","12"
"Rejected","26"
"Total","534"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","12"
"Rejected","27"
"Total","535"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","12"
"Rejected","28"
"Total","536"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","13"
"Rejected","28"
"Total","537"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","13"
"Rejected","29"
"Total","538"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","14"
"Rejected","29"
"Total","539"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","14"
"Rejected","30"
"Total","540"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","14"
"Rejected","31"
"Total","541"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","15"
"Rejected","31"
"Total","542"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","16"
"Rejected","31"
"Total","543"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","16"
"Rejected","32"
"Total","544"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","7"
"Deferred","38"
"Withdrawn","16"
"Rejected","33"
"Total","545"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","16"
"Rejected","33"
"Total","546"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","16"
"Rejected","34"
"Total","547"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","16"
"Rejected","35"
"Total","548"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","16"
"Rejected","36"
"Total","549"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","17"
"Rejected","36"
"Total","550"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","17"
"Rejected","37"
"Total","551"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","17"
"Rejected","38"
"Total","552"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","17"
"Rejected","39"
"Total","553"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","17"
"Rejected","40"
"Total","554"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","17"
"Rejected","41"
"Total","555"
"Active","34"
"Accepted","22"
"Final","348"
"Provisional","1"
"Draft","46"
"Superseded","8"
"Deferred","38"
"Withdrawn","18"
"Rejected","41"
